link,name,type
Dale_Bender.png, Dale Bender,testimonial
Dr._Erin_Huebschman.png, Dr. Huebschman,testimonial
Dr._Huebschman.png, Dr. Huebschman,testimonial
Dr._Richards.png, Dr. Richards,testimonial
Kari_Edge.png, Kari Edge,testimonial
Kessa_Klaas.png, Kessa Klaas,testimonial
Pastor_Brenda.png, Pastor Brenda,testimonial
Pastor_Gus.png, Pastor Gus,testimonial
Pastor_Zanya.png, Paster Zayna,testimonial
Rachel_Fruit.png, Rachel Fruit,testimonial
Ron_Fruit.png, Ron Fruit,testimonial
covid19_and_quarantine.jpg,COVID-19 and Quarantine,info
covid19_symptoms.jpg,Know the COVID-19 Symptoms,info
vaccine_types.jpg,Different Types of COVID-19 Vaccines,info
physical_distancing.jpg,Maintain Physical Distancing,info
wash_hands.jpg,Wash Your Hands,info
covid19_vaccination.jpg,COVID-19 Vaccination?,info
mask_update.jpg,Mask Update,info
vaccination_site.jpg,Vaccination Site Reminders,info
pregnant_women.jpg,COVID-19 Vaccination Is Recommended For All Pregnant Women,info
get_boosted.jpg,Let's Get Boosted!,info
when_to_mask.jpg,When to use a mask?,info
workplace_safe.jpg,Keep Your Workplace Safe,info
202204 Did You Lose.mp3,Did You Lose Touch,radio
202204 Keeping Traditions.mp3,Keeping Traditions,radio
202204 Post Pandemic Reentry Anxiety.mp3,Post Pandemic Reentry Anxiety,radio
202204 Self Caring and Noticing.mp3,Self Caring and Noticing,radio
Project Recovery A.mp3,Project Recovery A,radio
Project Recovery B.mp3,Project Recovery B,radio
Vaccination PSA Advice.mp3,Vaccination PSA Advice,radio
Vaccination PSA Civics.mp3,Vaccination PSA Civics,radio
Vaccination PSA Don_t Want.mp3,Vaccination PSA Don't Want,radio
Vaccination PSA Laugh.mp3,Vaccination PSA Laugh,radio
Vaccination PSA Wish.mp3,Vaccination PSA Wish,radio